,Area,city,district,Prywatne,Firmowe,Zwierzęta,Winda,Umeblowane,Poziom,Rooms,Parking,Zabudowa,Total_price
4404,45.0,łódź,śródmieście,1,0,0,1,1,8 ,2,strzeżony,blok ,2670.0
4405,21.0,łódź,śródmieście,0,1,0,0,1,3 ,1,brak,blok ,2200.0
4406,25.0,łódź,górna,1,0,0,0,1,powyżej 10 ,1,brak,blok ,2000.0
4407,48.0,łódź,widzew,1,0,0,1,1,3 ,3,strzeżony,apartamentowiec ,3000.0
4408,32.0,łódź,polesie,1,0,0,1,1,7 ,1,brak,blok ,2450.0
4409,42.25,łódź,śródmieście,0,1,1,1,1,1 ,2,brak,blok ,2750.0
4418,28.0,łódź,śródmieście,0,1,0,0,1,1 ,1,brak,kamienica ,2120.0
4420,28.54,łódź,śródmieście,0,1,1,1,1,10 ,1,garaż,blok ,2400.0
4421,25.0,łódź,polesie,1,0,0,0,1,4 ,1,brak,kamienica ,1900.0
4424,44.52,łódź,śródmieście,0,1,0,1,1,6 ,2,garaż,apartamentowiec ,3090.0
4426,48.0,łódź,górna,0,1,0,0,1,2 ,2,brak,blok ,2420.0
4427,21.0,łódź,śródmieście,0,1,0,1,1,3 ,1,ulica,apartamentowiec ,1600.0
4428,43.0,łódź,widzew,1,0,1,0,1,4 ,2,ulica,blok ,2200.0
4430,18.36,łódź,górna,0,1,0,0,1,1 ,1,brak,kamienica ,1651.0
4432,30.0,łódź,śródmieście,1,0,1,0,1,2 ,1,brak,kamienica ,1800.0
4433,40.0,łódź,polesie,0,1,0,0,1,2 ,2,brak,blok ,2300.0
4434,60.0,łódź,bałuty,1,0,0,0,1,1 ,3,garaż,apartamentowiec ,3280.0
4435,44.4,łódź,śródmieście,1,0,1,1,1,4 ,2,identyfikator do strefy płatnego parkowania,apartamentowiec ,2800.0
4436,47.0,łódź,śródmieście,1,0,0,0,1,2 ,1,brak,kamienica ,1800.0
4437,32.0,łódź,bałuty,0,1,1,0,1,parter ,1,ulica,blok ,2095.0
4439,35.0,łódź,śródmieście,1,0,0,0,1,2 ,1,brak,blok ,2500.0
4441,40.0,łódź,polesie,1,0,1,1,1,3 ,2,garaż,blok ,3000.0
4444,16.0,łódź,śródmieście,0,1,0,0,1,2 ,1,brak,kamienica ,1900.0
4445,78.0,łódź,górna,1,0,0,0,1,1 ,3,ulica,apartamentowiec ,3650.0
4446,29.0,łódź,śródmieście,1,0,0,1,1,3 ,1,brak,apartamentowiec ,2100.0
4448,55.0,łódź,bałuty,0,1,0,1,1,1 ,3,brak,apartamentowiec ,3500.0
4449,17.0,łódź,śródmieście,1,0,0,0,1,3 ,1,brak,kamienica ,1950.0
4450,38.0,łódź,śródmieście,1,0,0,1,1,4 ,2,ulica,apartamentowiec ,2400.0
4451,41.0,łódź,bałuty,1,0,0,1,1,6 ,2,garaż,apartamentowiec ,2700.0
4452,24.0,łódź,śródmieście,1,0,1,0,1,1 ,2,brak,kamienica ,1950.0
4453,18.0,łódź,bałuty,1,0,1,1,1,powyżej 10 ,1,strzeżony,blok ,850.0
4454,15.0,łódź,polesie,1,0,1,0,1,parter ,1,brak,kamienica ,1480.0
4455,54.0,łódź,śródmieście,0,1,0,1,1,3 ,2,garaż,apartamentowiec ,3750.0
4456,43.0,łódź,śródmieście,0,1,0,1,1,4 ,2,brak,apartamentowiec ,55104.0
4457,21.0,łódź,śródmieście,0,1,0,0,1,-1,1,brak,szeregowiec ,1700.0
4458,38.0,łódź,bałuty,1,0,0,0,1,2 ,2,brak,blok ,2300.0
4459,58.0,łódź,bałuty,1,0,1,0,1,3 ,3,brak,blok ,2900.0
4460,17.12,łódź,śródmieście,1,0,0,0,1,4 ,1,brak,kamienica ,1680.0
